threshold,precision,recall,f1,youden_j
0.05,0.45918367346938777,0.9375,0.6164383561643836,0.8202433628318584
0.060000000000000005,0.47282608695652173,0.90625,0.6214285714285714,0.7989491150442478
0.07,0.49714285714285716,0.90625,0.6420664206642066,0.8089048672566371
0.08000000000000002,0.5117647058823529,0.90625,0.6541353383458647,0.8144358407079646
0.09000000000000001,0.5403726708074534,0.90625,0.6770428015564203,0.824391592920354
0.1,0.564935064935065,0.90625,0.696,0.8321349557522124
0.11000000000000001,0.6041666666666666,0.90625,0.725,0.8431969026548672
0.12000000000000002,0.6258992805755396,0.90625,0.7404255319148936,0.8487278761061947
0.13,0.6515151515151515,0.8958333333333334,0.7543859649122807,0.844948377581121
0.14,0.6538461538461539,0.8854166666666666,0.7522123893805309,0.8356379056047197
0.15000000000000002,0.6692913385826772,0.8854166666666666,0.7623318385650224,0.8389564896755162
0.16000000000000003,0.6910569105691057,0.8854166666666666,0.776255707762557,0.8433812684365781
0.17000000000000004,0.7024793388429752,0.8854166666666666,0.783410138248848,0.8455936578171092
0.18000000000000002,0.7264957264957265,0.8854166666666666,0.7981220657276995,0.8500184365781711
0.19000000000000003,0.7368421052631579,0.875,0.8,0.8418141592920354
0.20000000000000004,0.7636363636363637,0.875,0.8155339805825242,0.8462389380530974
0.21000000000000002,0.7850467289719626,0.875,0.8275862068965517,0.8495575221238938
0.22000000000000003,0.8076923076923077,0.875,0.84,0.8528761061946902
0.23000000000000004,0.8235294117647058,0.875,0.8484848484848485,0.8550884955752213
0.24000000000000005,0.8383838383838383,0.8645833333333334,0.8512820512820513,0.8468842182890856
0.25000000000000006,0.8383838383838383,0.8645833333333334,0.8512820512820513,0.8468842182890856
0.26000000000000006,0.8556701030927835,0.8645833333333334,0.8601036269430051,0.8490966076696166
0.27,0.8556701030927835,0.8645833333333334,0.8601036269430051,0.8490966076696166
0.28,0.8645833333333334,0.8645833333333334,0.8645833333333334,0.850202802359882
0.29000000000000004,0.8631578947368421,0.8541666666666666,0.8586387434554974,0.8397861356932153
0.30000000000000004,0.8723404255319149,0.8541666666666666,0.8631578947368421,0.8408923303834808
0.31000000000000005,0.8804347826086957,0.84375,0.8617021276595744,0.8315818584070797
0.32000000000000006,0.8888888888888888,0.8333333333333334,0.8602150537634409,0.8222713864306785
0.33000000000000007,0.8888888888888888,0.8333333333333334,0.8602150537634409,0.8222713864306785
0.3400000000000001,0.898876404494382,0.8333333333333334,0.8648648648648649,0.823377581120944
0.3500000000000001,0.9302325581395349,0.8333333333333334,0.8791208791208791,0.8266961651917405
0.36000000000000004,0.9294117647058824,0.8229166666666666,0.8729281767955801,0.8162794985250738
0.37000000000000005,0.9294117647058824,0.8229166666666666,0.8729281767955801,0.8162794985250738
0.38000000000000006,0.9294117647058824,0.8229166666666666,0.8729281767955801,0.8162794985250738
0.39000000000000007,0.9285714285714286,0.8125,0.8666666666666667,0.8058628318584071
0.4000000000000001,0.9285714285714286,0.8125,0.8666666666666667,0.8058628318584071
0.4100000000000001,0.9285714285714286,0.8125,0.8666666666666667,0.8058628318584071
0.4200000000000001,0.9390243902439024,0.8020833333333334,0.8651685393258427,0.7965523598820059
0.43000000000000005,0.9493670886075949,0.78125,0.8571428571428571,0.776825221238938
0.44000000000000006,0.9493670886075949,0.78125,0.8571428571428571,0.776825221238938
0.45000000000000007,0.9493670886075949,0.78125,0.8571428571428571,0.776825221238938
0.4600000000000001,0.948051948051948,0.7604166666666666,0.8439306358381503,0.7559918879056047
0.4700000000000001,0.9466666666666667,0.7395833333333334,0.8304093567251462,0.7351585545722714
0.4800000000000001,0.9466666666666667,0.7395833333333334,0.8304093567251462,0.7351585545722714
0.4900000000000001,0.9466666666666667,0.7395833333333334,0.8304093567251462,0.7351585545722714
0.5000000000000001,0.9466666666666667,0.7395833333333334,0.8304093567251462,0.7351585545722714
0.5100000000000001,0.9466666666666667,0.7395833333333334,0.8304093567251462,0.7351585545722714
0.5200000000000001,0.9594594594594594,0.7395833333333334,0.8352941176470589,0.7362647492625369
0.5300000000000001,0.9594594594594594,0.7395833333333334,0.8352941176470589,0.7362647492625369
0.5400000000000001,0.958904109589041,0.7291666666666666,0.8284023668639053,0.7258480825958702
0.55,0.9583333333333334,0.71875,0.8214285714285714,0.7154314159292036
0.56,0.9583333333333334,0.71875,0.8214285714285714,0.7154314159292036
0.5700000000000001,0.9583333333333334,0.71875,0.8214285714285714,0.7154314159292036
0.5800000000000001,0.9583333333333334,0.71875,0.8214285714285714,0.7154314159292036
0.5900000000000001,0.9583333333333334,0.71875,0.8214285714285714,0.7154314159292036
0.6000000000000001,0.9583333333333334,0.71875,0.8214285714285714,0.7154314159292036
0.6100000000000001,0.9571428571428572,0.6979166666666666,0.8072289156626506,0.6945980825958702
0.6200000000000001,0.9571428571428572,0.6979166666666666,0.8072289156626506,0.6945980825958702
0.6300000000000001,0.9571428571428572,0.6979166666666666,0.8072289156626506,0.6945980825958702
0.6400000000000001,0.9701492537313433,0.6770833333333334,0.7975460122699386,0.6748709439528024
0.6500000000000001,0.9701492537313433,0.6770833333333334,0.7975460122699386,0.6748709439528024
0.6600000000000001,0.9701492537313433,0.6770833333333334,0.7975460122699386,0.6748709439528024
0.6700000000000002,0.9701492537313433,0.6770833333333334,0.7975460122699386,0.6748709439528024
0.6800000000000002,0.9701492537313433,0.6770833333333334,0.7975460122699386,0.6748709439528024
0.6900000000000002,0.9696969696969697,0.6666666666666666,0.7901234567901234,0.6644542772861357
0.7000000000000002,0.9692307692307692,0.65625,0.782608695652174,0.6540376106194691
0.7100000000000002,0.9692307692307692,0.65625,0.782608695652174,0.6540376106194691
0.7200000000000001,0.9692307692307692,0.65625,0.782608695652174,0.6540376106194691
0.7300000000000001,0.9692307692307692,0.65625,0.782608695652174,0.6540376106194691
0.7400000000000001,0.9692307692307692,0.65625,0.782608695652174,0.6540376106194691
0.7500000000000001,0.9692307692307692,0.65625,0.782608695652174,0.6540376106194691
0.7600000000000001,0.984375,0.65625,0.7875,0.6551438053097345
0.7700000000000001,0.984375,0.65625,0.7875,0.6551438053097345
0.7800000000000001,0.9838709677419355,0.6354166666666666,0.7721518987341772,0.6343104719764011
0.7900000000000001,0.9838709677419355,0.6354166666666666,0.7721518987341772,0.6343104719764011
0.8000000000000002,0.9838709677419355,0.6354166666666666,0.7721518987341772,0.6343104719764011
0.8100000000000002,0.9836065573770492,0.625,0.7643312101910829,0.6238938053097345
0.8200000000000002,0.9836065573770492,0.625,0.7643312101910829,0.6238938053097345
0.8300000000000002,0.9836065573770492,0.625,0.7643312101910829,0.6238938053097345
0.8400000000000002,0.9836065573770492,0.625,0.7643312101910829,0.6238938053097345
0.8500000000000002,1.0,0.6145833333333334,0.7612903225806451,0.6145833333333334
0.8600000000000002,1.0,0.6041666666666666,0.7532467532467533,0.6041666666666666
0.8700000000000001,1.0,0.6041666666666666,0.7532467532467533,0.6041666666666666
0.8800000000000001,1.0,0.5833333333333334,0.7368421052631579,0.5833333333333334
0.8900000000000001,1.0,0.5729166666666666,0.7284768211920529,0.5729166666666666
0.9000000000000001,1.0,0.5625,0.72,0.5625
0.9100000000000001,1.0,0.5625,0.72,0.5625
0.9200000000000002,1.0,0.5520833333333334,0.7114093959731543,0.5520833333333334
0.9300000000000002,1.0,0.53125,0.6938775510204082,0.53125
0.9400000000000002,1.0,0.53125,0.6938775510204082,0.53125
0.9500000000000002,1.0,0.5208333333333334,0.684931506849315,0.5208333333333334
